!
!Date: 01/12/2023
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
KIP2	YPL155C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MRN1	YPL184C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BBP1	YPL255W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HAA1	YPR008W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
FHL1	YPR104C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CLB2	YPR119W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ICS2	YBR157C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PPZ2	YDR436W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
KAP123	YER110C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
KIP3	YGL216W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YHR131C	YHR131C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SET4	YJL105W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HAP4	YKL109W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ALY1	YKR021W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
UBP11	YKR098C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
FRE1	YLR214W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
STP3	YLR375W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
KIP1	YBL063W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SLI15	YBR156C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
STE5	YDR103W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
URC2	YDR520C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
LSB3	YFR024C-A	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HSF1	YGL073W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
XRN1	YGL173C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MGA1	YGR249W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RTT101	YJL047C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
IKS1	YJL057C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
UBP12	YJL197W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NMD5	YJR132W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SFI1	YLL003W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SED5	YLR026C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MNL2	YLR057W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YML082W	YML082W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SPT21	YMR179W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RHO2	YNL090W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SOL1	YNR034W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TEA1	YOR337W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CLN3	YAL040C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YBL029W	YBL029W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
AMN1	YBR158W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SMY2	YBR172C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YPC1	YBR183W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PBP2	YBR233W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
UBX7	YBR273C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CHA1	YCL064C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SYP1	YCR030C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SNT1	YCR033W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RPN4	YDL020C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ASM4	YDL088C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CLB3	YDL155W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YDR124W	YDR124W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SWI5	YDR146C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NUP42	YDR192C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
UPC2	YDR213W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
VHS1	YDR247W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SSD1	YDR293C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PEP7	YDR323C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PAL1	YDR348C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SPC110	YDR356W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PSP1	YDR505C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SLF1	YDR515W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GIP2	YER054C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PCL6	YER059W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BCK2	YER167W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
AFT1	YGL071W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SUT1	YGL162W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CLB6	YGR109C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CRM1	YGR218W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YTA7	YGR270W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TDA11	YHR159W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SGN1	YIR001C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CDC6	YJL194W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PHD1	YKL043W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BUD2	YKL092C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MCD4	YKL165C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HEL1	YKR017C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PPR1	YLR014C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MDL1	YLR188W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BDF1	YLR399C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CAT8	YMR280C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
VPS27	YNR006W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NDJ1	YOL104C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HRP1	YOL123W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NDD1	YOR372C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
FRE3	YOR381W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ULP1	YPL020C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TRM44	YPL030W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SUR1	YPL057C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MUK1	YPL070W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SYH1	YPL105C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
FRK1	YPL141C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TPK2	YPL203W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GAL4	YPL248C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
VIK1	YPL253C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CLB5	YPR120C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SEO1	YAL067C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MST28	YAR033W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TOD6	YBL054W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
FAT1	YBR041W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TAT1	YBR069C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RDH54	YBR073W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PTC4	YBR125C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MSI1	YBR195C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YBR238C	YBR238C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PCA1	YBR295W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
LEU2	YCL018W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PEX34	YCL056C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PHO87	YCR037C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ABP1	YCR088W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YDL012C	YDL012C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RTK1	YDL025C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MBP1	YDL056W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ACK1	YDL203C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PRR2	YDL214C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
REG1	YDR028C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GRX3	YDR098C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YDR131C	YDR131C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
STB3	YDR169C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
COQ4	YDR204W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ADR1	YDR216W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SBE2	YDR351W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GNP1	YDR508C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GTA1	YEL043W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YND1	YER005W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ILV1	YER086W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
AVT6	YER119C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YCK3	YER123W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
COM2	YER130C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
UBP3	YER151C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GRX4	YER174C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CDC4	YFL009W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BUD27	YFL023W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
KAP122	YGL016W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
DBP3	YGL078C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
LSG1	YGL099W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GPI10	YGL142C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PMR1	YGL167C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SDT1	YGL224C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
